충전소명,위도,경도,연중 무휴 여부,충전기 타입,충전 속도,충전기 개수,지번 주소,도로명 주소
부여 - 롯데프리미엄아울렛,36.305926,126.900338,O,데스티네이션,7,1,,
부천 - 롯데백화점,37.50255,126.775018,O,데스티네이션,7,1,,
비스타 워커힐 서울,37.554417,127.111294,O,데스티네이션,16,3,,
비젠빌리지,33.511932,126.890842,O,데스티네이션,16,2,,
비콘힐스 골프클럽,37.623561,127.868288,O,데스티네이션,16,2,,
빕스 계산점,37.539976,126.73432,O,데스티네이션,7,2,,
빕스 광주 충장로점,35.144335,126.914945,O,데스티네이션,7,2,,
빕스 대방점,37.512149,126.925706,O,데스티네이션,7,2,,
빕스 비산점,37.399994,126.945974,O,데스티네이션,7,1,,
빕스 예술회관역점,37.449914,126.698458,O,데스티네이션,7,2,,
사랑채 한방오리,35.234815,128.879821,O,데스티네이션,19,3,,
삼척 원더풀,37.429361,129.182966,O,데스티네이션,16,3,,
샌드파인 골프 클럽,37.800064,128.880303,O,데스티네이션,16,2,,
서울 - 강북 파라스파라,37.6632,127.0085,O,데스티네이션,7,1,,
서울 - 서초 쌍용플래티넘,37.48406,127.01732,O,데스티네이션,7,1,,
서울 - 왕십리,37.5604,127.0386,O,데스티네이션,7,1,,
서울 - 청량리,37.5813,127.0489,O,데스티네이션,7,1,,
서울-성수 디타워,37.544,127.0442,O,데스티네이션,7,1,,
서울-센터필드,37.503216,127.04162,O,데스티네이션,7,1,,
서울-수유,37.63714,127.02334,O,데스티네이션,7,1,,
서원 밸리 CC,37.821038,126.888956,O,데스티네이션,16,3,,
성남 - 판교 카카오 아지트,37.3953,127.1104,O,데스티네이션,7,1,,
성남 - 판교 테크원,37.395519,127.112237,O,데스티네이션,7,1,,
세종 - AK플라자,36.5003,127.25686,O,데스티네이션,7,1,,
소설호텔,37.486357,127.013968,O,데스티네이션,6,2,,
속초 순두부마을 식당,38.162805,128.570714,O,데스티네이션,6,3,,
수원 - 광교 롯데아울렛,37.28656,127.05594,O,데스티네이션,7,1,,
수원 - 광교 하동,37.293424,127.070232,O,데스티네이션,7,1,,
스테이폴리오 - 모여집,37.576086,126.933948,O,데스티네이션,7,1,,
스테이폴리오 - 제로플레이스,36.72417,126.57611,O,데스티네이션,10,1,,
신라스테이 광화문,37.572659,126.981178,O,데스티네이션,16,5,,
신라스테이 울산,35.537441,129.329031,O,데스티네이션,16,5,,
신라스테이 제주,33.485501,126.490922,O,데스티네이션,16,5,,
신라스테이 해운대,35.159722,129.158785,O,데스티네이션,16,5,,
신세계백화점 충청점,36.819544,127.156556,O,데스티네이션,16,3,,
씨에스 호텔 & 리조트,33.242922,126.420435,O,데스티네이션,16,2,,
아이나비 프리미엄 스토어 인천점,37.54229,126.67606,O,데스티네이션,10,1,,
안양 - 평촌,37.39301,126.96228,O,데스티네이션,7,1,,
알로프트 서울 명동,37.562074,126.981711,O,데스티네이션,16,1,,
양양 - 설해원,38.0543,128.66041,O,데스티네이션,7,1,,
엠버 호텔 제주,33.489727,126.4878,O,데스티네이션,6,2,,
소노캄호텔 고양,37.661878,126.750874,O,데스티네이션,7,2,,
엣아집커뮤니티,37.533943,127.061136,O,데스티네이션,6,3,,
와이스퀘어,37.613636,127.030415,O,데스티네이션,7,2,,
용인 - 기흥 롯데프리미엄아울렛,37.225226,127.121328,O,데스티네이션,7,1,,
우영미 맨메이드 카페 & 쇼룸,37.524502,127.036526,O,데스티네이션,16,3,,
의왕 - 롯데 타임빌라스,37.375636,127.009472,O,데스티네이션,7,1,,
이븐데일 컨트리클럽,36.684097,127.602655,O,데스티네이션,19,2,,
인천 - 미추홀 앨리웨이,37.470798,126.665855,O,데스티네이션,7,1,,
인천 - 영종 그랜드하얏트 동관,37.44031,126.45744,O,데스티네이션,7,1,,
인천 - 영종 그랜드하얏트 서관,37.4398,126.4561,O,데스티네이션,7,1,,
인천 - 청라 스퀘어7,37.53236,126.64166,O,데스티네이션,7,1,,
임피리얼 팰리스 부티크 호텔 이태원,37.535315,126.998264,O,데스티네이션,16,2,,
임피리얼 팰리스 호텔 서울,37.514026,127.035913,O,데스티네이션,16,2,,
잘났소 총체보리한우 수라간,37.642789,127.360684,O,데스티네이션,6,3,,
장흥자생수목원,37.743905,126.949554,O,데스티네이션,6,2,,
전주 - 효자,35.80698,127.11566,O,데스티네이션,7,1,,
제일볼링센터,35.171822,126.920051,O,데스티네이션,7,4,,
제주 봄 카페 & 스테이,33.250125,126.587429,O,데스티네이션,7,2,,
진천 - 뤁스퀘어,36.9422,127.43131,O,데스티네이션,7,1,,
춘천 - ENTA2022,37.86326,127.74814,O,데스티네이션,7,1,,
충주 - 대소원 홈마트,37.0016,127.83573,O,데스티네이션,7,1,,
카닥 일산주유소,37.643918,126.761471,O,데스티네이션,7,2,,
카페인W,37.65188,126.650472,O,데스티네이션,19,3,,
코리아 골프 연습장,35.081845,128.97374,O,데스티네이션,7,2,,
퀸즈 파크 나인,37.564501,126.833035,O,데스티네이션,6,4,,
탐앤탐스 덕소점 ,37.593949,127.192061,O,데스티네이션,6,2,,
테슬론 주식회사,35.888202,128.708555,O,데스티네이션,7,3,,
TruelLamerHotel(Sokcho),38.194139,128.576595,O,데스티네이션,7,1,,
트리플 스트리트 쇼핑몰 A동,37.380824,126.659359,O,데스티네이션,16,2,,
트리플 스트리트 쇼핑몰 D동 (메가박스 송도),37.378071,126.664115,O,데스티네이션,6,2,,
파주 - 뮌스터담,37.726815,126.783557,O,데스티네이션,7,1,,
파크 하얏트 서울,37.508511,127.064109,O,데스티네이션,16,2,,
평창 더 화이트 호텔,37.575825,128.333745,O,데스티네이션,6,3,,
